Rang,Nom,Marque,Catégorie,Phytocomposants,Total
26,LOVEA Brume Solaire FPS 50 Monoï De Tahiti 150 ml,‎Lovea,Protection Solaire,Cocos nucifera (coconut) oil · Gardenia taitensis flower extract · Helianthus annuus (sunflower) seed oil,3
27,SVR Eau Solaire SPF50+ Sun Secure,‎SVR,Protection Solaire,Bixa orellana seed extract · Glycine soja oil · Lepidium sativum sprout extract · Helianthus annuus seed oil,4
30,Garnier Ambre Solaire Super UV Sérum Solaire Visage SPF50+,‎Garnier,Protection Solaire,Aloe barbadensis leaf juice,1
1,Mixa Sérum Booster d'Hydratation Hyalurogel,‎Mixa,Sérums,,0
2,Mixa Intensif Peaux Sèches,‎Mixa,Sérums,Theobroma cacao seed butter · Butyrospermum parkii butter,2
4,L'Oréal Men Expert Soin Hydratant Anti-Fatigue 24H XXL,‎L'Oréal Men Expert,Sérums,,0
6,L’Oréal Paris Revitalift Filler Sérum 30 ml,‎L'Oréal Paris,Sérums,Secale Cereale Seed Extract,1
7,La Provençale Bio Crème Rose de Jouvence Anti-Âge Éclat,‎La Provençale,Sérums,Simmondsia Chinensis Seed Oil · Olea Europaea Fruit Oil · Olea Europaea Fruit Extract · Olea Europaea Leaf Extract · Argania Spinosa Kernel Oil · Aloe Barbadensis Leaf Juice Powder · Helianthus Annuus Seed Oil,7
10,Topicrem CICA+ Crème Apaisante 40 ml,‎Topicrem,Sérums,Cera alba,1
11,Sérum Concentré Anti-Imperfections,‎Mixa,Sérums,,0
12,Revitalift Crème de Jour,‎L'Oréal Paris,Sérums,Butyrospermum Parkii Butter · Limnanthes Alba Seed Oil · Cera Alba · Glycine Soja Protein · Faex Extract,5
13,BIO Sérum Visage à la Vitamine C/E,‎Florence,Sérums,Hamamelis Virginiana Extract · Centella Asiatica Extract · Tamarindus Indica Seed Polysaccharide · Citrus Aurantium Amara Oil · Taraxacum Officinale Extract · Citrus Aurantium Amara Flower Water · Citrus Aurantium Dulcis Peel Oil · Simmondsia Chinensis Seed Oil,8
15,L’Oréal Paris Revitalift Filler Gel-Crème Repulpant 50 ml,‎L’Oréal Paris,Sérums,,0
17,Mixa Crème Niacinamide Correction Éclat,‎Mixa,Sérums,Butyrospermum Parkii Butter · Zea Mays Starch,2
18,Gel Aloe Vera Bio,‎B.O.T cosmetic & wellness,Sérums,Chondrus crispus,1
19,Revitalift Laser X3,‎L'Oréal Paris,Sérums,Linalool · Isoeugenol · Limonene · Citronellol,4
20,NIVEA MEN Soin Hydratant Peau Sensible,‎NIVEA,Sérums,Butyrospermum Parkii Butter · Hamamelis Virginiana Bark/Leaf Extract · Chamomilla Recutita Flower Extract,3
21,Garnier Pure Active Sérum,‎Garnier,Sérums,,0
22,Mixa Sérum Concentré Anti-Taches,‎Mixa,Sérums,,0
23,COSRX Snail Mucin 96% Power Face Serum,‎COSRX,Sérums,,0
24,GARNIER Skin Active Sérum Crème Booster D'Éclat,‎Garnier,Sérums,Citrus Limon Fruit Extract · Citrus Paradisi Fruit Extract,2
25,GARNIER Skin Active Crème Hydratante Bio,‎Garnier,Sérums,Simmondsia Chinensis Seed Oil · Argania Spinosa Kernel Oil · Aloe Barbadensis Leaf Juice Powder · Citrus Paradisi Fruit Extract,4
27,CeraVe Crème Hydratante Visage,‎CeraVe,Sérums,,0
28,L’Oréal Paris Midnight Sérum Age Perfect,‎NYX PROFESSIONAL MAKEUP,Sérums,Saccharomyces/Xylinum/Black Tea Ferment · Tuber Aestivum Extract · Tuber Melanosporum Extract,3
29,COSRX Advanced Snail 92 Crème tout-en-un,‎COSRX,Sérums,,0
30,L'Oréal Paris Sérum Teinté Repulpant Accord Parfait,‎L'Oréal Paris,Sérums,Empetrum nigrum fruit juice,1
1,Paula's Choice SKIN PERFECTING 2% BHA Lotion Exfoliante,‎PAULA'S CHOICE,Exfoliants Visage,Camellia Oleifera Leaf Extract,1
2,L'Oréal Paris Peeling Toner Revitalift,‎L'Oréal Paris,Exfoliants Visage,Aloe barbadensis leaf juice · Citrullus lanatus fruit extract,2
3,L'Oréal Men Expert Gel Désincrustant Anti-Pores Encrassés,‎L'Oréal Men Expert,Exfoliants Visage,Perlite · Mentha Piperita Extract,2
4,Neutrogena Gel Exfoliant Pamplemousse Rose,‎Neutrogena,Exfoliants Visage,Jojoba esters · Citrus grandis fruit extract,2
7,L'Oréal Paris Revitalift Exfoliant Doux,‎L'Oréal Paris,Exfoliants Visage,PEG-40 Hydrogenated castor oil · Coco-betaine,2
9,Exfoliant Purifiant Skin Detox,‎Neutrogena,Exfoliants Visage,Sorbitol,1
10,Medicube Zero Pore Pads 2.0,‎medicube,Exfoliants Visage,Citrus Aurantium Dulcis Peel Oil · Citrus Aurantifolia Peel Oil · Citrus Grandis Peel Oil · Citrus Aurantium Bergamia Fruit Oil · Rosmarinus Officinalis Leaf Oil · Eucalyptus Globulus Leaf Oil · Lavandula Angustifolia Oil · Vitis Vinifera Fruit Extract · Citrus Aurantifolia Fruit Extract · Citrus Limon Fruit Extract · Pyrus Malus Fruit Extract · Citrus Aurantium Dulcis Fruit Extract · Centella Asiatica Extract · Salix Alba Bark Extract · Origanum Vulgare Leaf Extract · Chamaecyparis Obtusa Leaf Extract · Lactobacillus/Soybean Ferment Extract · Cinnamomum Cassia Bark Extract · Scutellaria Baicalensis Root Extract · Portulaca Oleracea Extract · Oenothera Biennis Flower Extract · Pinus Palustris Leaf Extract · Ulmus Davidiana Root Extract · Pueraria Lobata Root Extract,24
11,Garancia Pschitt Magique,‎Garancia,Exfoliants Visage,,0
12,Gel Exfoliant Anti-Boutons,‎Neutrogena,Exfoliants Visage,Salicylic Acid,1
13,Garnier Eau Micellaire Tout-en-1 Peeling Doux,‎Garnier,Exfoliants Visage,Ananas sativus fruit extract,1
14,Pure Clean Scrub,‎KIKO Milano,Exfoliants Visage,Oryza Sativa Powder · Punica Granatum Fruit Extract,2
15,Proraso Pâte Exfoliante Visage Barbe,‎Proraso,Exfoliants Visage,,0
16,Beauty of Joseon Gel exfoliant fleur d'abricot,‎Beauty of Joseon,Exfoliants Visage,Prunus mume flower water · Pyrus malus fruit extract · Camellia sinensis leaf extract · Houttuynia cordata extract · Nelumbo nucifera flower extract · Oryza sativa extract · Prunus mume fruit extract · Vaccinium angustifolium fruit extract,8
17,Noreva Exfoliac Global X-PRO,‎Noreva,Exfoliants Visage,Oryza Sativa Powder · Oenothera Biennis Oil · Imperata Cylindrica Root Extract · Punica Granatum Pericarp Extract · Helianthus Annuus Seed Oil,5
19,GARNIER Pure Active Soin Exfoliant Visage,‎Garnier,Exfoliants Visage,Taraxacum officinale rhizome/root extract · Saccharomyces/rice ferment filtrate,2
20,ISISPHARMA GLYCO-A,‎ISISPHARMA,Exfoliants Visage,Jojoba Esters · Helianthus Annuus Seed Wax · Acacia Decurrens Flower Wax,3
23,Eau Précieuse - Lotion Purifiante Clearskin,‎Eau Précieuse,Exfoliants Visage,Eucalyptus Globulus Leaf Extract,1
24,Biore Exfoliant Anti-Boutons ,‎Biore,Exfoliants Visage,,0
1,Masques Visage au Collagène MYSOSBEAUTY,‎MY SOS BEAUTY,Crèmes Visage,Chondrus Crispus Powder · Helianthus Annuus Seed Oil · Galactomyces Ferment Filtrate,3
3,Biodance Bio-Collagen Real Deep Mask Pack de 4,‎Biodance,Crèmes Visage,Galactomyces Ferment Filtrate · Ceratonia Siliqua Gum · Chondrus Crispus Extract · Pyrus Communis Fruit Extract · Rosa Damascena Flower Water · Iris Florentina Root Extract · Cucumis Melo Fruit Extract · Hedera Helix Leaf/Stem Extract · Bifida Ferment Filtrate · Lactobacillus Ferment · Lactobacillus Ferment Lysate,11
4,Lotus Coton-Tiges,‎Lotus,Crèmes Visage,,0
6,Mixa Sérum Booster d'Hydratation Hyalurogel,‎Mixa,Crèmes Visage,,0
7,L'Oréal Paris CC Crème C'est Magic,‎L'Oréal Paris,Crèmes Visage,,0
8,Mixa Intensif Peaux Sèches,‎Mixa,Crèmes Visage,Theobroma Cacao Seed Butter · Butyrospermum Parkii Butter,2
12,L'Oréal Paris Revitalift Laser X3,‎L'Oréal Paris,Crèmes Visage,Simmondsia Chinensis Seed Oil · Centella Asiatica Extract,2
14,Hero Mighty Patch Invisible+,‎HERO COSMETICS,Crèmes Visage,,0
16,L'Oréal Men Expert Hydra Energetic 100 ml,‎L'Oréal Men Expert,Crèmes Visage,,0
18,L’Oréal Paris Revitalift Filler Sérum,‎L'Oréal Paris,Crèmes Visage,Secale Cereale Seed Extract,1
19,Sérum Concentré Anti-Imperfections,‎Mixa,Crèmes Visage,,0
